Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_SPST_Omron_B3FS-100xP,132.784,9.0725,90.0,top
C1,100uF,CP_EIA-7343-31_Kemet-D_HandSolder,71.4425,51.4,0.0,top
C10,10uF,C_1206_3216Metric,153.7702,64.12,180.0,top
C11,10nF,R_0805_2012Metric,125.9302,51.51,0.0,top
C12,10nF,R_0805_2012Metric,98.5,51.49,180.0,top
C13,100nF,R_0805_2012Metric,50.07,6.705,90.0,top
C14,0.1â€¯uF,C_0805_2012Metric,153.1902,61.24,180.0,top
C15,1uF,R_0805_2012Metric,123.43,9.475,180.0,top
C16,22uF,C_1206_3216Metric,175.8227,55.019967,180.0,top
C17,100nF,R_0805_2012Metric,122.03,61.13,0.0,top
C18,100nF,R_0805_2012Metric,147.314,7.54,0.0,top
C19,100nf,R_0805_2012Metric,147.314,5.07,180.0,top
C2,100nF,C_0805_2012Metric,74.312292,56.25,0.0,top
C3,10uF,C_1206_3216Metric,170.8827,55.019967,0.0,top
C4,100nF,C_0805_2012Metric,74.312292,59.01,0.0,top
C5,100nF,C_0805_2012Metric,175.6027,60.959967,180.0,top
C6,22uF,C_1206_3216Metric,175.8427,52.459967,180.0,top
C7,4.7uF,C_Elec_8x10.2,25.84,57.85,180.0,top
C8,100nF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,27.88,64.56,180.0,top
C9,100nF,R_0805_2012Metric,176.61,6.685,90.0,top
D1,D_Schottky,D_SMB,162.9752,53.964967,180.0,top
D2,D_Schottky,D_SMB,162.9752,59.6,180.0,top
D3,ES2F,D_SMB,47.78,53.17,180.0,top
D4,LED,LED_0805_2012Metric,99.65,9.565,0.0,top
J1,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical_SMD,95.125,18.225,0.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,136.999992,64.67,180.0,top
J7,Barrel_Jack_Switch,BarrelJack_Horizontal,89.469792,58.865,-90.0,top
L1,100uH,L_APV_APH1050,38.319792,60.49,-90.0,top
L2,6.8uH,L_Bourns_SRN8040TA,184.5952,58.01,0.0,top
MT1,PEC11R-4215F-S0024,XDCR_PEC11R-4215F-S0024,112.0,58.75,0.0,top
Q1,IRF740,TO-263-2,62.519792,61.9725,0.0,top
R1,0.05,R_0805_2012Metric,74.312292,61.64,0.0,top
R10,0,R_1206_3216Metric,20.41,51.06,180.0,top
R11,1M,R_1206_3216Metric,129.009992,62.79,180.0,top
R12,1M,R_1206_3216Metric,141.352492,58.734584,0.0,top
R13,1M,R_1206_3216Metric,147.309992,54.761803,180.0,top
R14,5.11K,R_1206_3216Metric,147.309992,58.734584,180.0,top
R15,5.11K,R_1206_3216Metric,141.33341,54.769137,180.0,top
R16,0,R_1206_3216Metric,185.9602,52.46,0.0,top
R17,27K,R_1206_3216Metric,19.0,44.7375,-90.0,top
R18,27K,R_1206_3216Metric,49.0,44.7375,-90.0,top
R19,27K,R_1206_3216Metric,96.96,44.7375,-90.0,top
R2,1.5M,R_0805_2012Metric,49.74,56.81,0.0,top
R20,120K,R_1206_3216Metric,71.41,44.7375,90.0,top
R21,10k,R_0805_2012Metric,130.154,18.155,180.0,top
R22,10k,R_0805_2012Metric,102.54,54.01,180.0,top
R23,10K,R_0805_2012Metric,44.98,6.705,-90.0,top
R25,10k,R_0805_2012Metric,131.074,15.81,180.0,top
R26,10k,R_0805_2012Metric,122.03,54.01,0.0,top
R27,10k,R_0805_2012Metric,102.57,51.49,180.0,top
R28,10k,R_0805_2012Metric,122.03,51.49,0.0,top
R3,10k,R_0805_2012Metric,62.959792,51.49,0.0,top
R4,330,R_0805_2012Metric,95.82,9.565,0.0,top
R5,10K,R_0805_2012Metric,123.43,11.835,180.0,top
R6,15K,R_1206_3216Metric,127.0,44.7375,-90.0,top
R7,15K,R_1206_3216Metric,175.0,44.7375,-90.0,top
R8,15K,R_1206_3216Metric,205.0,44.7375,-90.0,top
R9,120K,R_1206_3216Metric,149.41,44.7375,90.0,top
RESET1,SW_Push,SW_SPST_Omron_B3FS-100xP,141.064,9.0725,90.0,top
RV1,5K,Potentiometer_Bourns_3314J_Vertical,56.85,51.51,90.0,top
TH1,Thermistor_PTC,R_1206_3216Metric,82.6,55.99,0.0,top
TH2,Thermistor_PTC,R_1206_3216Metric,147.309992,64.12,180.0,top
U1,AP63203WU,TSOT-23-6,173.2552,58.079967,0.0,top
U2,MAX1771xSA,SO-8_3.9x4.9mm_P1.27mm,50.244792,60.8975,0.0,top
U3,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,111.7,15.145,180.0,top
U4,HV5622PG,PQFP-44_10x10mm_P0.8mm,175.0,15.945,-90.0,top
U5,HV5622PG,PQFP-44_10x10mm_P0.8mm,48.975,15.945,-90.0,top
